Island,Sex,Morph,Wing.centroid.pixels,Mating.status,Abdomen.length.mm
KAU,female,gyno,2179.579,mated,23.96366
KAU,female,gyno,2266.906,mated,25.39681
KAU,female,gyno,2038.859,mated,23.06850
KAU,female,gyno,2215.799,unnmated,25.11783
KAU,female,gyno,2361.401,unnmated,25.59180
KAU,female,andro,2026.042,unnmated,24.00616
KAU,female,andro,2376.977,unnmated,26.30904
KAU,female,andro,2129.542,unnmated,24.18147
KAU,female,andro,2029.079,mated,22.79399
KAU,female,andro,2164.924,mated,24.44607
KAU,female,andro,2126.093,mated,24.08724
KAU,male,male,1981.114,mated,23.38030
KAU,male,male,2174.287,mated,27.06738
KAU,male,male,1947.275,mated,23.47071
KAU,male,male,1951.603,mated,23.55117
KAU,male,male,2112.623,mated,25.77641
KAU,male,male,2003.045,unnmated,24.23802
KAU,male,male,1918.478,unnmated,23.49544
KAU,male,male,1983.591,unnmated,24.42372
KAU,male,male,2015.467,unnmated,23.96552
KAU,male,male,1985.240,unnmated,23.66924
HAW,female,gyno,2497.046,unnmated,28.02067
HAW,female,gyno,2598.690,unnmated,28.87800
HAW,female,gyno,2512.692,unnmated,28.51594
HAW,female,gyno,2665.689,unnmated,29.61999
HAW,female,gyno,2505.669,unnmated,28.56775
HAW,male,male,2297.586,unnmated,28.60729
HAW,male,male,2153.568,unnmated,27.45557
HAW,male,male,2222.037,unnmated,27.86206
HAW,male,male,2249.006,unnmated,27.48314
HAW,male,male,2197.741,unnmated,28.85873
HAW,male,male,2238.638,unnmated,28.54920
OAH,female,andro,2077.190,mated,23.39834
OAH,female,andro,2188.322,mated,25.06257
OAH,female,andro,2308.035,mated,26.10902
OAH,female,andro,2089.064,mated,23.06992
OAH,female,gyno,2384.666,mated,25.33693
OAH,female,gyno,2404.299,mated,25.76696
OAH,female,gyno,2239.521,mated,24.30754
OAH,female,gyno,2208.106,unnmated,24.59644
OAH,female,gyno,2193.644,unnmated,23.80709
OAH,female,gyno,2170.919,unnmated,23.93217
OAH,female,gyno,2219.806,unnmated,24.93236
OAH,female,andro,2234.651,unnmated,24.35628
OAH,female,andro,2233.518,unnmated,24.96251
OAH,female,andro,2102.811,unnmated,22.91547
OAH,female,andro,2060.102,unnmated,22.65804
OAH,male,male,1902.721,unnmated,23.31207
OAH,male,male,1955.419,unnmated,24.46873
OAH,male,male,1919.836,unnmated,24.57279
OAH,male,male,1942.811,unnmated,23.29446
OAH,male,male,1801.836,unnmated,24.01209
OAH,male,male,1972.438,mated,23.53578
OAH,male,male,1925.159,mated,23.55331
OAH,male,male,1955.738,mated,23.60474
OAH,male,male,2041.330,mated,24.73487
OAH,male,male,1978.040,mated,24.12427
TEX,male,male,1940.860,mated,23.70523
TEX,male,male,1863.872,mated,22.65394
TEX,male,male,1778.642,mated,22.60746
TEX,male,male,1899.289,unnmated,23.07469
TEX,male,male,1895.866,unnmated,22.76533
TEX,male,male,1945.321,unnmated,22.83346
TEX,male,male,1830.209,unnmated,23.35031
TEX,female,andro,2174.372,mated,24.53140
TEX,female,andro,2179.403,mated,23.99502
TEX,female,andro,2207.992,mated,24.03360
TEX,female,gyno,2278.147,mated,25.1789
TEX,female,gyno,2090.978,unnmated,22.55041
TEX,female,gyno,2077.154,unnmated,23.61496
TEX,female,gyno,2111.110,unnmated,23.47602
TEX,female,gyno,2343.476,unnmated,25.27503
TEX,female,andro,2066.704,unnmated,23.06894
TEX,female,andro,2059.717,unnmated,23.02457
TEX,female,andro,2099.568,unnmated,22.61566
TEX,female,andro,2195.354,unnmated,23.80881

