sample.mean
54.263
56.041
50.991
49.51
49.57
51.53
47.869
50.894999999999996
49.061
51.422
51.6
51.016
50.688
50.458
57.913
56.103
46.125
49.294000000000004
51.932
53.477
49.908
51.655
53.249
51.156
50.406
