Country,Continent,RegionUN,SubregionUN,percent_undernourishment1991,percent_undernourishment2000,percent_undernourishment2010,percent_undernourishment2014,fruitandveg_gram1990,fruitandveg_gram2000,fruitandveg_gram2010,fruitandveg_gram2011,percent_nonstaples1991,percent_nonstaples2000,percent_nonstaples2009,gender_inequality_index,gender_inequality_rank,Year_PhysicianDensity,Ratio_Physician,Year_CHWdensity,Ratio_CHWdensity,Year_NursesMidwivesDensity,Ratio_NursesMidwivesDensity,year_earlychildbearing,percent_earlychildbearing,A1990_femaleED,A2000_femaleED,A2010_femaleED,A2011_13_femaleED,waterpiped1990,waterOtherIm1990,waterotherUnIm1990,watersurface1990,waterpiped2000,waterOtherIm2000,waterotherUnIm2000,watersurface2000,waterpiped2012,waterOtherIm2012,waterotherUnIm2012,watersurface2012,SantotalIm1990,Sanshared1990,SanOtherUnIm1990,SanDefecation1990,SantotalIm2000,Sanshared2000,SanOtherUnIm2000,SanDefecation2000,SantotalIm2012,Sanshared2012,SanOtherUnIm2012,SanDefecation2012,agriculture1990_govspend,education1990_govspend,health1990_govspend,socialprotection1990_govspend,agriculture2000_govspend,education2000_govspend,health2000_govspend,socialprotection2000_govspend,agriculture2010_govspend,education2010_govspend,health2010_govspend,socialprotection2010_govspend,agriculture2012_govspend,education2012_govspend,health2012_govspend,socialprotection2012_govspend
Afghanistan,Asia,Asia,Southern Asia,,,,24.70000076,201,148,164,153,,,,0.705,150,2011,0.234,,,2009,0.5,2010-2011,25.6,,,32.82917,38.26145935,0.6,,,,2.1,20,46.4,31.5,9.7,54.5,27.1,8.7,,,,,23.2,8.5,40.5,27.9,29,11,44.6,15.5,,,,,,,,,3.674126148,16.55589104,4.134423256,2.449581861,,,,
Albania,Europe,Europe,Southern Europe,,,,,306,623,1030,1080,42,51,60,0.245,44,2012,1.145,,,2012,3.99,2008-2009,2.5,77.00537,64.91142,,,,,,,65.2,31.2,2.2,1.3,78.4,17.3,4.3,0,79.4,6.4,13.2,0.9,83.8,6.6,8.7,0.9,91.2,6.6,2,0.2,,,,,4.49843359,2.491553068,5.984622955,15.28643608,,11.48573399,8.865542412,27.71452522,,,,
Algeria,Africa,Africa,Northern Africa,5.5,6.3,,,254,320,615,671,41,40,42,0.425,81,2007,1.207,2007,0.029,2007,1.947,,,51.09355,63.40601,97.13877,99.54859924,68.7,25.1,5.2,0.9,71.5,17.9,10.1,0.5,73.9,10,15.8,0.3,88.6,,3.9,7.5,92.2,,1.9,5.9,95.2,,1.5,3.3,,,,,2.928486824,21.82454109,4.306127071,14.52638817,,,,,,,,
Andorra,Europe,Europe,Southern Europe,,,,,,,,,,,,,,2003,3.697,,,2003,3.258,,,,,,,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,
Angola,Africa,Africa,Middle Africa,63.2,49,29.5,18,157,132,408,413,41,32,40,,,2009,0.166,,,2009,1.66,,,,13.37347,25.47401,24.80102921,6.4,36,33.9,23.8,11.5,34.1,29.5,24.9,20.8,33.5,24.2,21.5,29.2,,13.4,57.5,42.2,,12,45.9,60.1,,16,23.9,,,,,0.781789482,5.337808132,4.13268137,2.508276224,,,,,,,,
Antigua and Barbuda,Americas,Latin America and the Caribbean,Caribbean,15.9,38.5,20.8,,531,563,598,685,73,72,72,,,1999,0.169,,,1999,3.282,,,,73.57757,106.69632,112.8780212,61.2,36.2,2.6,,75.6,22.1,2.3,,,,2.1,,74.7,,20.8,4.5,84.6,,13.6,1.9,,,,,,,,,,,,,,,,,,,,
Argentina,Americas,Latin America and the Caribbean,South America,,,,,371,497,387,384,65,66,68,0.381,74,2004,3.155,,,2004,0.481,,,,88.56166,95.18912,96.6324234,66.2,27.6,4.5,1.7,82,14.5,2.6,0.9,98.6,0.1,1,0.3,86.5,2.1,11,0.4,91.7,2.2,5.6,0.4,97.2,2.3,0.1,0.4,0.224697948,5.404596806,13.46578598,37.69950867,0.41053009,4.276275635,14.16201401,42.68173981,,,,,,,,
Armenia,Asia,Asia,Western Asia,,21.5,,5.699999809,,462,921,1071,,39,54,0.325,60,2012,2.687,,,2012,4.906,2010,1.5,,94.52813,107.59713,106.1940613,80.8,,,,86.4,6.1,7.3,0.1,96.5,3.3,0.2,0,,,,,88.9,3,8,0.1,90.5,3.1,6.4,0,,,,,,,,,,,,,,,,
Australia,Oceania,Oceania,Australia and New Zealand,,,,,485,517,542,521,75,75,74,0.113,19,2011,3.273,2006,0.05,2011,10.648,,,,160.7215,127.26578,131.6352539,,,0,0,,,0,0,,,0,0,100,0,0,0,100,0,0,0,100,0,0,0,3.69363308,7.186659336,12.2465086,29.18968391,0.984523416,6.124503136,14.03626823,37.19897461,0.718662918,9.539079666,15.81368923,33.01192093,,,,
Austria,Europe,Europe,Western Europe,,,,,570,572,628,700,76,73,73,0.056,5,2011,4.83,,,2011,7.914,,,97.81356,95.51638,96.56745,95.66716003,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,2.027048349,12.86340523,17.02548599,57.55289078,1.14959836,10.69221592,16.09437752,40.5705986,0.961551309,10.84700298,15.5086813,41.39307022,,,,
